model,id,test_loss
snr loss,300826143817,-18.646778106689453
drifting loss,300826145103,0.6875496506690979
drifting sigma=0.0,300826150417,0.6863910555839539
drifting sigma=0.3,300826151731,0.6200829148292542
drifting + snr,300826153050,-67.60116577148438
latent drifting,300826154409,4.3963704109191895
spectrogram drifting,300826155829,1.8378758430480957
Unpaired feature,020926132721,3.960214614868164
Unpaired,020926134602,1.696435809135437
snr + feature,020926140016,nan
